Iteration,Train_Accuracy,Valid_Accuracy,Loss
0,0.485714285714,0.652173913043,0.788184101701
100,0.809523809524,0.652173913043,0.256071030115
200,0.904761904762,0.782608695652,0.187910223602
300,0.914285714286,0.913043478261,0.134942910086
400,0.933333333333,0.95652173913,0.106788021221
500,0.942857142857,1.0,0.0991371828859
600,0.980952380952,1.0,0.0884432507299
700,0.933333333333,0.95652173913,0.106229547149
800,0.980952380952,1.0,0.0827101416509
900,0.933333333333,1.0,0.104916898879
1000,0.961904761905,1.0,0.0946719747229
1100,0.971428571429,1.0,0.0914739148788
1200,0.971428571429,1.0,0.0903355099952
1300,0.971428571429,1.0,0.0892931025404
1400,0.971428571429,1.0,0.0903428029836
1500,0.971428571429,1.0,0.0890604727838
1600,0.980952380952,1.0,0.0859243853509
1700,0.971428571429,1.0,0.0879068008656
1800,0.971428571429,1.0,0.0871397360305
1900,0.971428571429,1.0,0.0865297241741
2000,0.971428571429,1.0,0.0859960485888
2100,0.971428571429,1.0,0.085522052851
2200,0.971428571429,1.0,0.0850826601976
2300,0.971428571429,1.0,0.0846813787787
2400,0.971428571429,1.0,0.0842026607329
2500,0.971428571429,1.0,0.085625247307
2600,0.971428571429,1.0,0.085318735612
2700,0.971428571429,1.0,0.0830117299064
2800,0.971428571429,1.0,0.0845123843541
2900,0.971428571429,1.0,0.0825868093776
3000,0.971428571429,1.0,0.0825020986091
3100,0.971428571429,1.0,0.0823661162991
3200,0.971428571429,1.0,0.082082362366
3300,0.971428571429,1.0,0.0818920638053
3400,0.971428571429,1.0,0.0817576504566
3500,0.980952380952,1.0,0.0809937915252
3600,0.980952380952,1.0,0.0809285442595
3700,0.980952380952,1.0,0.0808496418822
3800,0.971428571429,1.0,0.0814529779904
3900,0.971428571429,1.0,0.0813396498947
4000,0.971428571429,1.0,0.0811368117644
4100,0.971428571429,1.0,0.0809325575098
4200,0.971428571429,1.0,0.0808970537821
4300,0.971428571429,1.0,0.0807559502954
4400,0.971428571429,1.0,0.0806292812522
4500,0.971428571429,1.0,0.0805084707277
4600,0.971428571429,1.0,0.0803967920889
4700,0.971428571429,1.0,0.0802929746323
4800,0.971428571429,1.0,0.0801942604445
4900,0.971428571429,1.0,0.0800939515149
5000,0.971428571429,1.0,0.0800034059133
5100,0.971428571429,1.0,0.07991518884
5200,0.971428571429,1.0,0.0798335608293
5300,0.971428571429,1.0,0.0797558996792
5400,0.971428571429,1.0,0.0796828124314
5500,0.971428571429,1.0,0.0796107023207
5600,0.971428571429,1.0,0.079539208423
5700,0.971428571429,1.0,0.0794707854943
5800,0.971428571429,1.0,0.079409221621
5900,0.971428571429,1.0,0.0793547058693
6000,0.971428571429,1.0,0.0792897814636
6100,0.971428571429,1.0,0.0792404431182
6200,0.971428571429,1.0,0.0789400515539
6300,0.971428571429,1.0,0.0791242014686
6400,0.971428571429,1.0,0.0790865041878
6500,0.971428571429,1.0,0.0790339643891
6600,0.971428571429,1.0,0.0789817761174
6700,0.971428571429,1.0,0.0789333153471
6800,0.971428571429,1.0,0.0788828744984
6900,0.971428571429,1.0,0.0788335315769
7000,0.971428571429,1.0,0.0787856045722
7100,0.971428571429,1.0,0.0787384133428
7200,0.971428571429,1.0,0.0786896506691
7300,0.971428571429,1.0,0.0786437257319
7400,0.971428571429,1.0,0.0785959182641
7500,0.971428571429,1.0,0.078549771364
7600,0.971428571429,1.0,0.0785050381343
7700,0.971428571429,1.0,0.0784605247388
7800,0.971428571429,1.0,0.0784167642386
7900,0.971428571429,1.0,0.0783734464529
8000,0.971428571429,1.0,0.0783297358616
8100,0.971428571429,1.0,0.0782882287933
8200,0.971428571429,1.0,0.0782488512335
8300,0.971428571429,1.0,0.0782076251208
8400,0.971428571429,1.0,0.0781739799488
8500,0.971428571429,1.0,0.078136867264
8600,0.971428571429,1.0,0.0780958838461
8700,0.971428571429,1.0,0.0780612512398
8800,0.971428571429,1.0,0.0780215332602
8900,0.971428571429,1.0,0.0779826224081
9000,0.971428571429,1.0,0.0779482842078
9100,0.971428571429,1.0,0.0779106994867
9200,0.971428571429,1.0,0.0778712524451
9300,0.971428571429,1.0,0.0778337585975
9400,0.971428571429,1.0,0.077797638869
9500,0.971428571429,1.0,0.077760830287
9600,0.971428571429,1.0,0.0777228285971
9700,0.971428571429,1.0,0.0776929250104
9800,0.971428571429,1.0,0.0776545767962
9900,0.971428571429,1.0,0.0776226450927
10000,0.971428571429,1.0,0.0775873981608
